[2025-02-21 23:52:12,606 - systeminfo_my_version.py:31, Function: get_os_info] INFO - obtaining os info
[2025-02-21 23:52:12,606 - systeminfo_my_version.py:37, Function: get_cpu_info] INFO - obtaining cpu info
[2025-02-21 23:52:13,607 - systeminfo_my_version.py:44, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:52:13,607 - systeminfo_my_version.py:44, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:52:13,607 - systeminfo_my_version.py:44, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:52:13,607 - systeminfo_my_version.py:52, Function: get_hd_info] INFO - obtaining hd info
[2025-02-21 23:52:13,608 - systeminfo_my_version.py:70, Function: get_time_info] INFO - obtaining time info
[2025-02-21 23:52:13,608 - systeminfo_my_version.py:70, Function: get_time_info] INFO - obtaining time info
[2025-02-21 23:52:13,608 - systeminfo_my_version.py:91, Function: display_system_info] INFO - dictionary was created
[2025-02-21 23:52:37,535 - systeminfo_my_version.py:31, Function: get_os_info] INFO - obtaining os info
[2025-02-21 23:52:37,535 - systeminfo_my_version.py:37, Function: get_cpu_info] INFO - obtaining cpu info
[2025-02-21 23:52:38,537 - systeminfo_my_version.py:44, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:52:38,538 - systeminfo_my_version.py:44, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:52:38,538 - systeminfo_my_version.py:44, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:52:38,539 - systeminfo_my_version.py:52, Function: get_hd_info] INFO - obtaining hd info
[2025-02-21 23:52:38,540 - systeminfo_my_version.py:70, Function: get_time_info] INFO - obtaining time info
[2025-02-21 23:52:38,540 - systeminfo_my_version.py:70, Function: get_time_info] INFO - obtaining time info
[2025-02-21 23:52:38,540 - systeminfo_my_version.py:91, Function: display_system_info] INFO - dictionary was created
[2025-02-21 23:54:29,513 - systeminfo_my_version.py:30, Function: get_os_info] INFO - obtaining os info
[2025-02-21 23:54:29,516 - systeminfo_my_version.py:36, Function: get_cpu_info] INFO - obtaining cpu info
[2025-02-21 23:54:30,520 - systeminfo_my_version.py:43, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:54:30,520 - systeminfo_my_version.py:43, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:54:30,520 - systeminfo_my_version.py:43, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:54:30,520 - systeminfo_my_version.py:51, Function: get_hd_info] INFO - obtaining hd info
[2025-02-21 23:54:30,521 - systeminfo_my_version.py:69, Function: get_time_info] INFO - obtaining time info
[2025-02-21 23:54:30,521 - systeminfo_my_version.py:69, Function: get_time_info] INFO - obtaining time info
[2025-02-21 23:54:30,521 - systeminfo_my_version.py:90, Function: display_system_info] INFO - dictionary was created
